patient,model_type,bit_width,event_average_detection_delay,event_sensitivity,event_false_detections_per_hour
123,bit_width_10,10.0,12.0,100.0,9.153454980556386
124,bit_width_10,10.0,3.6,100.0,5.349064387881674
125,bit_width_10,10.0,14.5,40.0,7.451566629746461
126,bit_width_10,10.0,-12.5,80.0,9.4765180975172
127,bit_width_10,10.0,-9.9,83.33333333333333,9.04704463208685
128,bit_width_10,10.0,-30.0,100.0,10.050852527669756
129,bit_width_10,10.0,-7.25,100.0,9.422674244690398
130,bit_width_10,10.0,-4.333333333333333,85.71428571428571,5.420102902439624
131,bit_width_10,10.0,3.25,88.88888888888889,4.101326899879372
132,bit_width_10,10.0,2.4895833333333335,92.15686274509804,4.7412818432854325
133,bit_width_10,10.0,-30.0,50.0,9.227985524728588
134,bit_width_10,10.0,18.0,100.0,9.691893508824409
135,bit_width_10,10.0,-1.75,100.0,10.166063528549161
136,bit_width_10,10.0,-4.0,100.0,3.589590188453484
137,bit_width_10,10.0,-4.285714285714286,100.0,8.098987626546682
138,bit_width_10,10.0,4.875,88.88888888888889,9.024371576479034
139,bit_width_10,10.0,18.666666666666668,85.71428571428571,3.538310328618435
140,bit_width_10,10.0,-11.25,100.0,9.422674244690398
141,bit_width_10,10.0,13.333333333333334,83.33333333333333,7.179180376906969
142,bit_width_10,10.0,-1.7142857142857142,100.0,1.8460749540617922
143,bit_width_10,10.0,-0.75,100.0,4.03828896201017
144,bit_width_10,10.0,-8.5,100.0,6.701550685231491
145,bit_width_10,10.0,-7.8,100.0,11.307209093628476
1,bit_width_12,12.0,2.9,95.23809523809524,6.654075080498499
2,bit_width_12,12.0,-6.25,66.66666666666667,7.788597160340392
3,bit_width_12,12.0,-8.666666666666666,100.0,11.19047154108774
4,bit_width_12,12.0,-10.88888888888889,100.0,8.924940336242855
5,bit_width_12,12.0,-8.2,71.42857142857143,6.222526167529493
6,bit_width_12,12.0,21.0,50.0,7.550555332861363
7,bit_width_12,12.0,16.22222222222222,90.0,6.647465158597681
8,bit_width_12,12.0,21.333333333333332,19.23076923076923,3.0926223327902083
9,bit_width_12,12.0,-5.125,72.72727272727273,8.844579651552715
10,bit_width_12,12.0,-17.4,100.0,9.078936804034667
11,bit_width_12,12.0,-7.994897959183674,92.85714285714286,2.7737641660600256
12,bit_width_12,12.0,4.333333333333333,100.0,0.3333333333333333
13,bit_width_12,12.0,-11.4,60.416666666666664,10.242353161726113
14,bit_width_12,12.0,-4.6,54.90196078431373,6.096519983254091
15,bit_width_12,12.0,-3.0,100.0,5.925777331995988
16,bit_width_12,12.0,-9.333333333333334,75.0,5.689515782231014
17,bit_width_12,12.0,-7.333333333333333,50.0,7.249668073457452
18,bit_width_12,12.0,-12.666666666666666,100.0,6.280094238492532
19,bit_width_12,12.0,18.0,33.333333333333336,3.0975086678342922
20,bit_width_12,12.0,-1.6,100.0,5.437236065077309
21,bit_width_12,12.0,-21.75,80.0,9.713427118516279
22,bit_width_12,12.0,-2.7142857142857144,92.85714285714286,3.54379177877981
23,bit_width_12,12.0,-2.5,33.333333333333336,6.5617014357717025
24,bit_width_12,12.0,-7.0,71.42857142857143,6.3750119090840816
25,bit_width_12,12.0,12.222222222222221,64.28571428571429,7.788334188827878
26,bit_width_12,12.0,4.5,94.44444444444444,8.136384096671865
27,bit_width_12,12.0,-6.769230769230769,76.47058823529412,9.639525551980714
28,bit_width_12,12.0,-20.818181818181817,64.70588235294117,7.149583191073528
29,bit_width_12,12.0,1.6,100.0,4.983019858178985
30,bit_width_12,12.0,8.8,100.0,2.188824979457683
31,bit_width_12,12.0,67.0,60.0,5.306428492436598
32,bit_width_12,12.0,1.4545454545454546,100.0,3.832519289495271
33,bit_width_12,12.0,-8.6,100.0,6.7194839883042174
34,bit_width_12,12.0,46.0,33.333333333333336,5.0
35,bit_width_12,12.0,-4.166666666666667,100.0,6.8079277287305375
36,bit_width_12,12.0,30.75,57.142857142857146,8.738455738531831
37,bit_width_12,12.0,1.8,100.0,10.576198946498414
38,bit_width_12,12.0,4.3,90.9090909090909,6.644596872997946
39,bit_width_12,12.0,-0.42857142857142855,87.5,5.738552982706036
40,bit_width_12,12.0,2.2,100.0,7.6285305632630145
41,bit_width_12,12.0,-9.0,75.0,7.163252575258542
42,bit_width_12,12.0,-15.083333333333334,96.875,9.165062294368656
43,bit_width_12,12.0,7.833333333333333,100.0,4.80585896823798
44,bit_width_12,12.0,-7.571428571428571,87.5,6.492259971490999
45,bit_width_12,12.0,4.833333333333333,60.0,7.172826449668451
46,bit_width_12,12.0,0.6666666666666666,100.0,7.8909384194875125
47,bit_width_12,12.0,0.3333333333333333,45.833333333333336,4.081354965660349
48,bit_width_12,12.0,8.0,20.0,4.064230268659908
49,bit_width_12,12.0,-15.285714285714286,100.0,9.469637190375176
50,bit_width_12,12.0,4.0,100.0,6.642857142857143
51,bit_width_12,12.0,-7.0,100.0,8.403919274641709
52,bit_width_12,12.0,-0.8,62.5,4.788265868657868
53,bit_width_12,12.0,-16.6,83.33333333333333,10.11672172812196
54,bit_width_12,12.0,40.666666666666664,60.0,2.8391627594066
55,bit_width_12,12.0,14.0,100.0,3.5707079728828597
56,bit_width_12,12.0,6.666666666666667,66.66666666666667,6.485824353936258
57,bit_width_12,12.0,25.333333333333332,50.0,2.9918754025164485
58,bit_width_12,12.0,-3.4523809523809526,100.0,4.901340959961554
59,bit_width_12,12.0,3.3333333333333335,42.857142857142854,5.277145979749441
60,bit_width_12,12.0,-0.1,62.5,8.453151160333457
61,bit_width_12,12.0,-1.8888888888888888,100.0,8.785225793219697
62,bit_width_12,12.0,30.555555555555557,100.0,8.78221821538029
63,bit_width_12,12.0,6.2,100.0,4.056224755003992
64,bit_width_12,12.0,-18.0,100.0,6.0
65,bit_width_12,12.0,-15.833333333333334,85.71428571428571,5.755392089481946
66,bit_width_12,12.0,9.25,88.88888888888889,4.405200645053316
67,bit_width_12,12.0,0.125,95.83333333333333,8.483015339228364
68,bit_width_12,12.0,0.6666666666666666,100.0,6.1023033203709245
69,bit_width_12,12.0,-14.0,100.0,6.82022135806162
70,bit_width_12,12.0,-2.142857142857143,100.0,4.761088623368439
71,bit_width_12,12.0,-30.0,75.0,12.08444663019616
72,bit_width_12,12.0,6.0,83.33333333333333,5.743344301525576
73,bit_width_12,12.0,3.3333333333333335,100.0,5.24285992067604
74,bit_width_12,12.0,6.583333333333334,100.0,6.428792039047799
75,bit_width_12,12.0,3.0,66.66666666666667,10.5
76,bit_width_12,12.0,47.333333333333336,75.0,4.228999344652568
77,bit_width_12,12.0,0.5714285714285714,77.77777777777777,9.58586798908889
78,bit_width_12,12.0,-18.25,100.0,5.418171459793644
79,bit_width_12,12.0,11.333333333333334,100.0,4.0
80,bit_width_12,12.0,2.75,95.83333333333333,7.656113670717298
81,bit_width_12,12.0,-6.333333333333333,100.0,7.682162272692991
82,bit_width_12,12.0,-1.38095238095238,100.0,6.8816954272709685
83,bit_width_12,12.0,-13.0,100.0,8.903332420543196
84,bit_width_12,12.0,-30.0,66.66666666666667,11.131880611109336
85,bit_width_12,12.0,-18.6,100.0,8.334567444817178
86,bit_width_12,12.0,18.25,100.0,11.237781041094198
87,bit_width_12,12.0,-3.1666666666666665,100.0,8.71624685018799
88,bit_width_12,12.0,18.0,50.0,2.962253893917891
89,bit_width_12,12.0,-30.0,100.0,12.5771518280349
90,bit_width_12,12.0,-2.3333333333333335,100.0,8.066666666666666
91,bit_width_12,12.0,26.0,100.0,3.0435643564356436
92,bit_width_12,12.0,,0.0,1.985299262357924
93,bit_width_12,12.0,-4.625,100.0,8.966960202561781
94,bit_width_12,12.0,-16.5,28.571428571428573,5.561106351842831
95,bit_width_12,12.0,-30.0,100.0,7.772768822284792
96,bit_width_12,12.0,-30.0,25.0,3.983559851137798
97,bit_width_12,12.0,37.666666666666664,75.0,8.693450912423135
98,bit_width_12,12.0,11.375,100.0,5.664371818912403
99,bit_width_12,12.0,84.0,50.0,0.8359085292953957
100,bit_width_12,12.0,-22.25,100.0,6.959277525993068
101,bit_width_12,12.0,23.0,91.66666666666666,7.22062923609378
102,bit_width_12,12.0,-30.0,50.0,6.388913525498891
103,bit_width_12,12.0,-8.333333333333334,100.0,5.958093672966311
104,bit_width_12,12.0,-8.229166666666666,100.0,9.331643081658223
105,bit_width_12,12.0,-5.5,66.66666666666667,6.190562120394728
106,bit_width_12,12.0,-17.0,75.0,9.885736601951956
107,bit_width_12,12.0,-1.25,100.0,7.15436610573127
108,bit_width_12,12.0,0.0,100.0,4.37906593831445
109,bit_width_12,12.0,-8.5,66.66666666666667,2.326708412741628
110,bit_width_12,12.0,11.5,100.0,10.66438206010997
111,bit_width_12,12.0,-5.75,40.0,8.399641040981155
112,bit_width_12,12.0,-30.0,25.0,6.3832356777424915
113,bit_width_12,12.0,29.0,12.5,4.038288962010171
114,bit_width_12,12.0,-5.333333333333333,100.0,7.23763570566948
115,bit_width_12,12.0,22.0,100.0,4.613992762364294
116,bit_width_12,12.0,39.0,83.33333333333333,7.9613992762364285
117,bit_width_12,12.0,7.2,100.0,3.4887946698970316
118,bit_width_12,12.0,-2.6666666666666665,100.0,7.897098414597667
119,bit_width_12,12.0,4.333333333333333,100.0,8.615016452288364
120,bit_width_12,12.0,-0.4,100.0,8.45682420644063
121,bit_width_12,12.0,15.5,53.333333333333336,5.318654999695796
122,bit_width_12,12.0,7.5,66.66666666666667,4.704463208685163
123,bit_width_12,12.0,-5.0,100.0,6.192043075082261
124,bit_width_12,12.0,-3.2,100.0,4.756337277570782
125,bit_width_12,12.0,8.666666666666666,60.0,5.180692092867494
126,bit_width_12,12.0,-1.2,100.0,7.968890218366736
127,bit_width_12,12.0,9.0,58.333333333333336,3.61881785283474
128,bit_width_12,12.0,5.666666666666667,83.33333333333333,8.256057433443013
129,bit_width_12,12.0,-8.0,100.0,6.730481603350285
130,bit_width_12,12.0,-0.2857142857142857,100.0,5.265010708746708
